,Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
19,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Africa_Northern,Primary Energy|Gas,EJ/yr,2.46823,2.9512,3.45473,3.912801,4.247873,4.474893,4.471587,4.66396699999999,4.835623,4.58960999999999,4.342724,4.10499,3.43089899999999,3.49425999999999,3.602789,3.588053,3.453375,3.340989,3.293313,2.970461
20,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Africa_Northern,Primary Energy|Oil,EJ/yr,2.998081,3.682152,3.85608399999999,3.7041,3.759032,3.91806299999999,3.975361,3.911411,3.84196,3.520662,3.269726,2.896562,2.38317,2.295434,2.292563,2.28973699999999,2.331585,2.35557599999999,2.330979,2.26613
21,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Africa_Southern,Primary Energy|Coal,EJ/yr,0.128032,0.09446829,0.1492496,0.1742651,0.1656311,0.1247638,0.08317388,0.06223877,0.05665743,0.07140354,0.1966413,0.3336914,0.368985099999999,0.4431959,0.519195,0.577319999999999,0.6179517,0.6331284,0.6364287,0.5987461
22,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Africa_Southern,Primary Energy|Gas,EJ/yr,0.04497334,0.06300641,0.1135349,0.1670555,0.197141,0.2680341,0.371927,0.5374319,0.784342099999999,0.9995917,1.297417,1.647158,1.92416899999999,2.281704,2.660599,3.008216,3.31813099999999,3.666062,3.92641299999999,3.66198799999999
23,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Africa_Southern,Primary Energy|Oil,EJ/yr,0.3442524,0.5200521,0.738669199999999,0.7165635,0.778647,0.9778763,1.191322,1.40134,1.494232,1.52512199999999,1.471963,1.338387,1.170651,1.275485,1.49660599999999,1.74996199999999,2.024677,2.290718,2.526802,2.653118
24,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Africa_Western,Primary Energy|Coal,EJ/yr,0.02041052,0.02899257,0.03505645,0.03990001,0.03685683,0.0392194,0.03719148,0.0355010999999999,0.03658913,0.03863376,0.05061983,0.05692165,0.04673895,0.05226477,0.06212554,0.0718904,0.08134861,0.09416994,0.1087047,0.09968636
25,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Africa_Western,Primary Energy|Gas,EJ/yr,0.4698099,0.5009482,0.7923571,0.8560723,0.9375604,1.311485,1.840665,2.713786,3.888584,4.974855,6.405879,7.68983399999999,8.133137,9.486462,10.91253,12.17721,13.29183,14.46037,15.49045,15.22494
26,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Africa_Western,Primary Energy|Oil,EJ/yr,1.189007,1.349667,1.723432,1.649441,1.67788499999999,2.031583,2.437288,2.862653,3.312601,3.620841,4.01238,4.232047,4.057072,4.517164,5.216988,5.959226,6.68615599999999,7.340864,7.845821,8.141394
27,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Argentina,Primary Energy|Coal,EJ/yr,0.04434803,0.05305256,0.04484877,0.04038669,0.03693892,0.02365987,0.01012575,0.004901767,0.003275207,0.002993314,0.003840213,0.004050343,0.003160724,0.003544887,0.004379675,0.005437515,0.00653657699999999,0.007955097,0.00966365699999999,0.01022981
28,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Argentina,Primary Energy|Gas,EJ/yr,1.454791,1.63459,1.801858,1.697788,1.639422,1.613728,1.522381,1.451086,1.34679,1.180099,1.043553,0.8744203,0.638653,0.6527562,0.6628084,0.6564336,0.6675364,0.7175008,0.7740634,0.769145699999999
29,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Argentina,Primary Energy|Oil,EJ/yr,1.137917,1.46876299999999,1.49082199999999,1.383405,1.349828,1.360311,1.32945499999999,1.234515,1.12565,1.01096,0.888385499999999,0.7702026,0.6433867,0.6031301,0.5671389,0.536619499999999,0.502756,0.477485499999999,0.4660952,0.4362876
30,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Australia_NZ,Primary Energy|Coal,EJ/yr,2.33022,2.249491,1.961396,1.767136,1.661209,0.9893266,0.6198374,0.4058518,0.3357509,0.3399855,0.419452999999999,0.4583933,0.417273499999999,0.457851599999999,0.5005305,0.536643,0.5724479,0.5985608,0.6237312,0.614154599999999
31,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Australia_NZ,Primary Energy|Gas,EJ/yr,1.152299,1.38710699999999,1.57271499999999,1.783608,1.699736,1.73724199999999,1.780934,1.803824,1.809678,1.700482,1.596018,1.474216,1.285332,1.310362,1.312934,1.276195,1.259386,1.322241,1.377459,1.334152
32,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Australia_NZ,Primary Energy|Oil,EJ/yr,2.162195,2.33062599999999,2.575157,2.615712,2.579365,2.460116,2.366806,2.15667999999999,1.976725,1.749602,1.550157,1.352744,1.14815699999999,1.119248,1.098387,1.095776,1.06221299999999,1.02926,1.0231,0.9586377
33,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Brazil,Primary Energy|Coal,EJ/yr,0.551071699999999,0.6320793,0.7657848,0.730413699999999,0.7209785,0.6488798,0.5483263,0.4818689,0.453863299999999,0.439657099999999,0.455389999999999,0.4439487,0.4020416,0.4038814,0.4012502,0.3916777,0.378888799999999,0.3689063,0.364436,0.3406645
