"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 5.3+ NGFS","Current Policies","World","Primary Energy|Coal","EJ/yr",129.464615802152,155.146062276823,165.824191234187,172.977480957403,183.346975378656,183.273161483396,180.490173912046,171.905619852483,165.436236265934,161.733502093865,159.971316656686,159.437095999174,157.981398406645,153.679150552791,150.460654827572,148.144953024288,145.400763717484,143.531987617086,141.734152560861,140.09585345988
"GCAM 5.3+ NGFS","Current Policies","World","Emissions|CO2","Mt CO2/yr",29981.7976807734,34175.6116227622,36974.2735567598,38537.7060795204,39061.7726581139,38568.9090529724,37659.1276327327,36220.9291721912,35140.1513294895,34318.7223728297,36438.5778778375,38730.0355135888,38804.8054304828,38909.1561708544,39075.0105606624,39220.6327757078,39278.4011010582,39409.5419708219,39542.2175583053,39305.8303048318
"GCAM 5.3+ NGFS","Net Zero 2050","World","Primary Energy|Coal","EJ/yr",129.460689953816,155.141581598439,165.817313870975,173.154462907061,131.814602579297,99.6287595190698,71.1598443780553,48.8742088995856,33.883377648659,27.7364663946364,25.1716813054847,21.1503509434541,19.5911268215491,18.0822861823933,16.5361904823697,14.8379769064951,14.1142093968864,13.4594312604524,12.8619627662674,11.1295889317599
"GCAM 5.3+ NGFS","Net Zero 2050","World","Emissions|CO2","Mt CO2/yr",29981.7976811409,34175.6116523973,36974.2738221543,38406.1945988634,31878.1745135938,25906.1520202412,18384.518047594,12302.102514866,5979.64559237933,-294.818322201035,-2255.32722768756,-4195.94060851005,-4802.42762739078,-5089.05945321695,-5282.37921207065,-5431.57428810138,-5366.2021574005,-5212.18376843642,-5012.44408791068,-4545.04501769734
"© NGFS Scenario Explorer https://data.ece.iiasa.ac.at/ngfs-phase-3"
